player,age,team,position,games_played,fg_made,fg_attempt,fg_percent,three_made,three_attempt,three_percent,ft_made,ft_attempt,ft_percent,rebound,assist,steal,block,turnover,point
Shai Gilgeous-Alexander,26,OKC,PG,76,860,1656,0.519,163,435,0.375,601,669,0.898,379,486,131,77,183,2484
Anthony Edwards,23,MIN,SG,79,721,1612,0.447,320,811,0.395,415,496,0.837,450,359,91,51,249,2177
Nikola Jokić,29,DEN,C,70,786,1364,0.576,138,331,0.417,361,451,0.8,892,716,127,45,230,2071
Giannis Antetokounmpo,30,MIL,PF,67,793,1319,0.601,14,63,0.222,436,707,0.617,798,433,58,78,206,2036
Jayson Tatum,26,BOS,PF,72,662,1465,0.452,250,728,0.343,358,440,0.814,623,431,76,38,209,1932
Devin Booker,28,PHO,SG,75,654,1420,0.461,183,551,0.332,432,483,0.894,305,529,67,16,220,1923
Trae Young,26,ATL,PG,76,566,1376,0.411,218,642,0.34,491,561,0.875,236,880,91,12,355,1841
Tyler Herro,25,MIA,SG,77,651,1378,0.472,251,670,0.375,287,327,0.878,399,424,69,17,198,1840
Cade Cunningham,23,DET,PG,70,684,1457,0.469,149,418,0.356,313,370,0.846,425,638,71,53,309,1830
James Harden,35,LAC,PG,79,531,1295,0.41,235,668,0.352,505,578,0.874,456,687,118,55,341,1802
Karl-Anthony Towns,29,NYK,C,72,639,1215,0.526,142,338,0.42,339,409,0.829,920,222,71,50,192,1759
Zach LaVine,29,2TM,SF,74,625,1223,0.511,239,536,0.446,235,285,0.825,315,310,58,12,208,1724
Zach LaVine,29,CHI,SF,42,363,710,0.511,136,305,0.446,145,182,0.797,202,189,39,10,121,1007
Zach LaVine,29,SAC,SG,32,262,513,0.511,103,231,0.446,90,103,0.874,113,121,19,2,87,717
Jalen Green,22,HOU,SG,82,608,1437,0.423,234,661,0.354,273,336,0.813,377,282,71,27,203,1723
Stephen Curry,36,GSW,PG,70,564,1258,0.448,311,784,0.397,279,299,0.933,310,421,80,30,200,1718
DeMar DeRozan,35,SAC,SF,77,624,1308,0.477,84,256,0.328,378,441,0.857,298,342,62,32,105,1710
LeBron James,40,LAL,SF,70,651,1270,0.513,149,396,0.376,259,331,0.782,546,575,70,39,260,1710
Donovan Mitchell,28,CLE,SG,71,585,1320,0.443,233,633,0.368,298,362,0.823,322,354,95,17,149,1701
Jalen Brunson,28,NYK,PG,65,585,1200,0.488,152,397,0.383,368,448,0.821,187,475,60,8,164,1690
Kevin Durant,36,PHO,PF,62,592,1124,0.527,160,372,0.43,303,361,0.839,374,263,50,77,190,1647
Jaren Jackson Jr.,25,MEM,C,74,592,1213,0.488,146,389,0.375,311,398,0.781,417,148,92,113,153,1641
Pascal Siakam,30,IND,PF,78,613,1182,0.519,126,324,0.389,226,308,0.734,540,263,70,42,109,1578
Darius Garland,25,CLE,PG,75,554,1174,0.472,212,529,0.401,224,255,0.878,214,506,91,11,189,1544
Coby White,24,CHI,SG,74,508,1121,0.453,216,584,0.37,277,307,0.902,273,330,69,16,177,1509
Jalen Williams,23,OKC,SG,69,565,1168,0.484,124,340,0.365,236,299,0.789,369,354,111,46,150,1490
Austin Reaves,26,LAL,SG,73,477,1037,0.46,200,531,0.377,321,366,0.877,329,421,81,22,177,1475
De'Aaron Fox,27,2TM,PG,62,539,1163,0.463,118,381,0.31,263,318,0.827,298,392,91,25,174,1459
De'Aaron Fox,27,SAC,PG,45,414,883,0.469,92,286,0.322,204,246,0.829,225,276,66,20,133,1124
De'Aaron Fox,27,SAS,PG,17,125,280,0.446,26,95,0.274,59,72,0.819,73,116,25,5,41,335
Alperen Şengün,22,HOU,C,76,567,1143,0.496,21,90,0.233,296,428,0.692,786,372,84,61,194,1451
Franz Wagner,23,ORL,SF,60,537,1161,0.463,104,352,0.295,271,311,0.871,342,284,75,21,138,1449
Damian Lillard,34,MIL,PG,58,444,992,0.448,197,524,0.376,362,393,0.921,272,410,70,10,162,1447
Mikal Bridges,28,NYK,SF,82,592,1183,0.5,164,463,0.354,96,118,0.814,259,306,75,43,132,1444
Jamal Murray,27,DEN,PG,67,531,1121,0.474,156,397,0.393,218,246,0.886,261,403,91,33,138,1436
Bam Adebayo,27,MIA,C,78,540,1113,0.485,79,221,0.357,251,328,0.765,749,337,98,53,161,1410
Luka Dončić,25,2TM,PG,50,461,1025,0.45,177,481,0.368,309,395,0.782,409,383,89,21,179,1408
Luka Dončić,25,DAL,PG,22,216,466,0.464,75,212,0.354,112,146,0.767,183,172,44,9,75,619
Luka Dončić,25,LAL,PG,28,245,559,0.438,102,269,0.379,197,249,0.791,226,211,45,12,104,789
Jaylen Brown,28,BOS,SF,63,518,1118,0.463,116,358,0.324,246,322,0.764,368,286,73,19,162,1398
Michael Porter Jr.,26,DEN,SF,77,528,1048,0.504,193,489,0.395,149,194,0.768,540,165,50,38,104,1398
Jordan Poole,25,WAS,SG,68,457,1057,0.432,235,622,0.378,242,274,0.883,203,303,86,27,204,1391
Tyrese Maxey,24,PHI,PG,52,477,1091,0.437,161,478,0.337,254,289,0.879,174,317,91,21,124,1369
Tyrese Haliburton,24,IND,PG,73,476,1006,0.473,218,562,0.388,189,222,0.851,258,673,105,49,120,1359
Nikola Vučević,34,CHI,C,73,550,1038,0.53,129,321,0.402,120,149,0.805,735,256,61,52,119,1349
Anfernee Simons,25,POR,SG,70,479,1125,0.426,215,593,0.363,175,194,0.902,189,337,60,5,143,1348
Ivica Zubac,27,LAC,C,80,592,942,0.628,0,0,,156,236,0.661,1010,214,55,90,127,1340
Domantas Sabonis,28,SAC,C,70,527,893,0.59,65,156,0.417,218,289,0.754,972,423,48,26,202,1337
Malik Beasley,28,DET,SG,82,461,1071,0.43,319,766,0.416,95,140,0.679,214,139,73,5,83,1336
Shaedon Sharpe,21,POR,SG,72,499,1104,0.452,147,472,0.311,190,242,0.785,324,198,62,16,150,1335
OG Anunoby,27,NYK,PF,74,489,1027,0.476,171,460,0.372,183,226,0.81,358,164,110,65,102,1332
Desmond Bane,26,MEM,SG,69,493,1018,0.484,164,418,0.392,177,198,0.894,418,369,80,28,169,1327
Evan Mobley,23,CLE,PF,71,505,906,0.557,85,230,0.37,221,305,0.725,659,226,61,113,145,1316
Norman Powell,31,LAC,SG,60,457,945,0.484,179,428,0.418,213,265,0.804,190,125,73,9,108,1306
Miles Bridges,26,CHO,PF,64,469,1089,0.431,141,450,0.313,221,254,0.87,481,248,44,45,136,1300
Julius Randle,30,MIN,PF,69,455,939,0.485,108,314,0.344,270,335,0.806,487,323,47,16,196,1288
Anthony Davis,31,2TM,PF,51,470,910,0.516,35,124,0.282,286,369,0.775,590,181,59,110,113,1261
Anthony Davis,31,LAL,C,42,400,758,0.528,28,94,0.298,253,321,0.788,499,141,54,90,93,1081
Anthony Davis,31,DAL,PF,9,70,152,0.461,7,30,0.233,33,48,0.688,91,40,5,20,20,180
Scottie Barnes,23,TOR,PF,65,474,1063,0.446,76,280,0.271,228,302,0.755,502,378,93,63,185,1252
Derrick White,30,BOS,SG,76,424,959,0.442,265,691,0.384,135,161,0.839,341,361,72,80,131,1248
Kyrie Irving,32,DAL,SG,50,447,945,0.473,144,359,0.401,196,214,0.916,240,231,66,23,111,1234
RJ Barrett,24,TOR,SF,58,460,982,0.468,107,306,0.35,196,311,0.63,366,314,46,17,165,1223
Deni Avdija,24,POR,SF,72,402,844,0.476,125,342,0.365,290,372,0.78,522,281,71,35,196,1219
Christian Braun,23,DEN,SG,79,476,821,0.58,89,224,0.397,177,214,0.827,410,205,85,37,81,1218
Paolo Banchero,22,ORL,PF,46,412,911,0.452,87,272,0.32,280,385,0.727,345,219,36,28,136,1191
Stephon Castle,20,SAS,PG,81,423,988,0.428,95,333,0.285,249,344,0.724,297,332,74,22,177,1190
LaMelo Ball,23,CHO,PG,47,406,1003,0.405,179,528,0.339,193,229,0.843,232,346,54,13,167,1184
CJ McCollum,33,NOP,PG,56,444,1000,0.444,171,459,0.373,124,173,0.717,212,227,46,24,106,1183
Ja Morant,25,MEM,PG,50,404,889,0.454,88,285,0.309,263,319,0.824,205,364,61,12,185,1159
Collin Sexton,26,UTA,SG,63,416,867,0.48,110,271,0.406,217,251,0.865,171,264,47,6,160,1159
Bennedict Mathurin,22,IND,SF,72,391,853,0.458,98,288,0.34,276,332,0.831,383,136,47,24,135,1156
Payton Pritchard,27,BOS,PG,80,409,866,0.472,255,626,0.407,71,84,0.845,307,279,70,14,83,1144
Naz Reid,25,MIN,C,80,426,923,0.462,175,462,0.379,111,143,0.776,480,181,58,72,108,1138
Keyonte George,21,UTA,PG,67,359,919,0.391,174,507,0.343,233,285,0.818,253,377,46,9,183,1125
Trey Murphy III,24,NOP,SF,53,381,839,0.454,158,438,0.361,204,230,0.887,268,188,56,39,103,1124
Myles Turner,28,IND,C,72,390,811,0.481,156,394,0.396,184,238,0.773,471,111,54,144,123,1120
Malik Monk,26,SAC,SG,65,412,939,0.439,139,428,0.325,154,178,0.865,245,362,61,38,159,1117
Victor Wembanyama,21,SAS,C,46,408,857,0.476,142,403,0.352,158,189,0.836,506,168,52,176,149,1116
Jarrett Allen,26,CLE,C,82,452,640,0.706,0,5,0,199,277,0.718,798,158,77,73,97,1103
Quentin Grimes,24,2TM,SG,75,384,823,0.467,162,421,0.385,162,214,0.757,324,228,74,22,141,1092
Quentin Grimes,24,DAL,SG,47,169,365,0.463,80,201,0.398,62,81,0.765,179,101,32,10,61,480
Quentin Grimes,24,PHI,SG,28,215,458,0.469,82,220,0.373,100,133,0.752,145,127,42,12,80,612
De'Andre Hunter,27,2TM,SF,64,358,762,0.47,157,388,0.405,215,254,0.846,258,92,50,13,82,1088
De'Andre Hunter,27,ATL,SF,37,227,492,0.461,97,247,0.393,151,176,0.858,145,57,31,5,59,702
De'Andre Hunter,27,CLE,SF,27,131,270,0.485,60,141,0.426,64,78,0.821,113,35,19,8,23,386
Andrew Wiggins,29,2TM,SF,60,376,839,0.448,130,348,0.374,196,257,0.763,269,158,60,50,99,1078
Andrew Wiggins,29,GSW,SF,43,261,588,0.444,94,248,0.379,139,179,0.777,197,102,40,33,56,755
Andrew Wiggins,29,MIA,SF,17,115,251,0.458,36,100,0.36,57,78,0.731,72,56,20,17,43,323
Dyson Daniels,21,ATL,SG,76,455,923,0.493,80,235,0.34,83,140,0.593,449,333,229,55,155,1073
Cameron Johnson,28,BRK,PF,57,355,747,0.475,159,408,0.39,201,225,0.893,247,194,53,25,99,1070
Dillon Brooks,29,HOU,SF,75,384,895,0.429,186,469,0.397,99,121,0.818,275,128,60,16,76,1053
Josh Hart,29,NYK,SG,77,404,770,0.525,84,252,0.333,159,205,0.776,737,453,119,27,158,1051
Brook Lopez,36,MIL,C,80,394,774,0.509,139,373,0.373,114,138,0.826,401,143,50,148,84,1041
Devin Vassell,24,SAS,SG,64,394,889,0.443,158,429,0.368,95,120,0.792,255,183,84,33,88,1041
Josh Giddey,22,CHI,PG,70,371,798,0.465,105,278,0.378,175,224,0.781,566,503,84,45,202,1022
Harrison Barnes,32,SAS,PF,82,347,683,0.508,156,360,0.433,161,199,0.809,310,136,39,14,50,1011
Klay Thompson,34,DAL,SF,72,361,877,0.412,216,553,0.391,67,74,0.905,246,145,50,30,88,1005
Tobias Harris,32,DET,PF,73,384,805,0.477,91,264,0.345,143,166,0.861,432,162,74,57,85,1002
Jaden McDaniels,24,MIN,PF,82,398,834,0.477,100,303,0.33,104,128,0.813,470,163,110,74,95,1000
Russell Westbrook,36,DEN,PG,75,373,831,0.449,94,291,0.323,154,233,0.661,370,457,106,37,242,994
Onyeka Okongwu,24,ATL,C,74,388,684,0.567,48,148,0.324,164,216,0.759,660,168,69,68,90,988
Dennis Schröder,31,3TM,PG,75,336,827,0.406,127,371,0.342,181,216,0.838,198,404,66,12,142,980
Dennis Schröder,31,BRK,PG,23,147,325,0.452,58,150,0.387,72,81,0.889,68,152,26,4,59,424
Dennis Schröder,31,GSW,SG,24,94,251,0.375,37,115,0.322,29,39,0.744,56,105,25,3,48,254
Dennis Schröder,31,DET,PG,28,95,251,0.378,32,106,0.302,80,96,0.833,74,147,15,5,35,302
Keldon Johnson,25,SAS,SF,77,371,770,0.482,87,274,0.318,150,194,0.773,371,125,49,22,77,979
Amen Thompson,22,HOU,SF,69,388,697,0.557,25,91,0.275,169,247,0.684,564,265,97,89,138,970
Jimmy Butler,35,2TM,SF,55,301,597,0.504,32,104,0.308,330,392,0.842,296,298,77,18,74,964
Jimmy Butler,35,MIA,PF,25,142,263,0.54,13,36,0.361,129,161,0.801,131,120,27,10,30,426
Jimmy Butler,35,GSW,SF,30,159,334,0.476,19,68,0.279,201,231,0.87,165,178,50,8,44,538
Kyle Kuzma,29,2TM,PF,65,370,848,0.436,96,313,0.307,128,202,0.634,370,152,36,19,146,964
Kyle Kuzma,29,WAS,PF,32,191,455,0.42,45,160,0.281,59,98,0.602,185,79,20,7,73,486
Kyle Kuzma,29,MIL,PF,33,179,393,0.455,51,153,0.333,69,104,0.663,185,73,16,12,73,478
Keegan Murray,24,SAC,PF,76,364,820,0.444,154,449,0.343,60,72,0.833,507,109,61,69,60,942
Zaccharie Risacher,19,ATL,SF,75,357,779,0.458,122,344,0.355,106,149,0.711,268,92,52,37,92,942
Jalen Duren,21,DET,C,78,378,546,0.692,0,0,,162,242,0.669,807,209,54,89,136,918
Naji Marshall,27,DAL,SF,69,362,712,0.508,60,218,0.275,130,160,0.813,328,208,70,11,112,914
Aaron Wiggins,26,OKC,SG,76,355,728,0.488,130,339,0.383,74,89,0.831,295,134,60,18,69,914
Buddy Hield,32,GSW,SG,82,328,786,0.417,203,549,0.37,53,64,0.828,264,134,69,23,91,912
Kelly Oubre Jr.,29,PHI,SF,60,348,741,0.47,71,242,0.293,139,185,0.751,368,108,92,30,80,906
Bradley Beal,31,PHO,SG,53,345,694,0.497,102,264,0.386,110,137,0.803,177,195,58,28,99,902
Lauri Markkanen,27,UTA,PF,47,296,700,0.423,138,399,0.346,162,185,0.876,278,70,33,17,66,892
Toumani Camara,24,POR,PF,78,328,716,0.458,135,360,0.375,91,126,0.722,450,175,116,50,109,882
Ty Jerome,27,CLE,SG,70,319,618,0.516,111,253,0.439,129,148,0.872,173,237,78,3,92,878
Spencer Dinwiddie,31,DAL,PG,79,284,682,0.416,109,326,0.334,195,243,0.802,209,349,70,17,102,872
Alex Sarr,19,WAS,C,67,326,828,0.394,105,341,0.308,112,165,0.679,435,161,44,101,114,869
Rudy Gobert,32,MIN,C,72,341,510,0.669,0,0,,184,273,0.674,785,127,56,104,89,866
Tim Hardaway Jr.,32,DET,SG,77,276,680,0.406,168,457,0.368,124,145,0.855,183,123,38,7,48,844
Fred VanVleet,30,HOU,PG,60,287,759,0.378,159,461,0.345,111,137,0.81,221,333,94,25,87,844
Jonas Valančiūnas,32,2TM,C,81,345,627,0.55,8,37,0.216,145,165,0.879,627,164,37,46,120,843
Jonas Valančiūnas,32,WAS,C,49,231,422,0.547,7,27,0.259,95,106,0.896,404,108,22,28,88,564
Jonas Valančiūnas,32,SAC,C,32,114,205,0.556,1,10,0.1,50,59,0.847,223,56,15,18,32,279
Keon Johnson,22,BRK,SG,79,303,779,0.389,126,401,0.314,107,139,0.77,297,175,82,30,116,839
Scoot Henderson,20,POR,PG,66,287,685,0.419,105,297,0.354,158,206,0.767,198,335,68,13,177,837
P.J. Washington,26,DAL,PF,57,301,665,0.453,91,239,0.381,143,198,0.722,442,131,63,60,118,836
Obi Toppin,26,IND,PF,79,317,599,0.529,110,301,0.365,89,114,0.781,318,128,46,28,68,833
Tyus Jones,28,PHO,PG,81,306,683,0.448,166,401,0.414,51,57,0.895,196,429,69,8,91,829
Jakob Poeltl,29,TOR,C,57,363,579,0.627,1,3,0.333,97,144,0.674,547,158,66,71,111,824
Gary Trent Jr.,26,MIL,SG,74,283,657,0.431,180,433,0.416,78,92,0.848,168,87,72,4,42,824
Jaylen Wells,21,MEM,SG,79,287,676,0.425,138,392,0.352,111,135,0.822,268,135,44,8,69,823
Kristaps Porziņģis,29,BOS,C,42,277,574,0.483,103,250,0.412,161,199,0.809,284,87,31,63,53,818
Duncan Robinson,30,MIA,SF,74,290,663,0.437,190,483,0.393,47,53,0.887,167,176,40,6,86,817
Julian Champagnie,23,SAS,SF,82,276,665,0.415,178,480,0.371,85,94,0.904,318,111,61,35,74,815
Santi Aldama,24,MEM,PF,65,313,648,0.483,120,326,0.368,65,94,0.691,416,188,52,29,71,811
Bub Carrington,19,WAS,PG,82,300,748,0.401,138,407,0.339,69,85,0.812,341,364,54,21,141,807
Kawhi Leonard,33,LAC,SF,37,310,623,0.498,78,190,0.411,98,121,0.81,219,116,59,17,72,796
Georges Niang,31,2TM,PF,79,286,620,0.461,166,409,0.406,46,58,0.793,272,111,28,14,82,784
Georges Niang,31,CLE,PF,51,166,348,0.477,90,225,0.4,23,29,0.793,189,67,17,7,48,445
Georges Niang,31,ATL,PF,28,120,272,0.441,76,184,0.413,23,29,0.793,83,44,11,7,34,339
Derrick Jones Jr.,27,LAC,SF,77,310,589,0.526,78,219,0.356,83,118,0.703,263,60,79,33,66,781
Scotty Pippen Jr.,24,MEM,PG,79,285,594,0.48,87,219,0.397,122,171,0.713,259,347,103,30,138,779
Gradey Dick,21,TOR,SG,54,265,647,0.41,114,326,0.35,133,155,0.858,193,98,48,10,83,777
Caris LeVert,30,2TM,SG,64,280,599,0.467,106,284,0.373,110,155,0.71,203,215,57,33,76,776
Caris LeVert,30,CLE,SF,38,135,298,0.453,60,148,0.405,58,83,0.699,107,140,33,19,51,388
Caris LeVert,30,ATL,SG,26,145,301,0.482,46,136,0.338,52,72,0.722,96,75,24,14,25,388
Rui Hachimura,26,LAL,PF,59,293,576,0.509,102,247,0.413,87,113,0.77,295,83,45,26,49,775
